type,created,tweet_type,text,url,view_count,retweet_count,like_count,reply_count,quote_count,media,lang,original_id,original_url,original_author_id,original_author_alias,original_author_url,source,location,hashtags,user_mentions,urls,card,alias,name,description,friend_count,follower_count,favorite_count,media_count,image,banner_image,created_at,is_verified
TwitterTweet,1720472827,quote,Wow,https://twitter.com/elonmusk/status/1810420372635799765,25018079,39049,136086,11259,2065,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",qst,1810394458334310744,https://twitter.com/SpeakerJohnson/status/1810394458334310744,827279765287559171,SpeakerJohnson,https://twitter.com/SpeakerJohnson,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],[],[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720482040,retweet,Falcon 9’s first stage has landed on the Just Read the Instructions droneship,https://twitter.com/elonmusk/status/1810609980816478506,520593,684,6886,266,45,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': [{'type': 'TwitterTweetVideo', 'id': '1810458810496278528', 'duration': 20, 'video': 'https://video.twimg.com/amplify_video/1810458810496278528/vid/avc1/1920x1080/vN4v7cotSsH3uYq8.mp4?tag=16'}]}",en,1810459014112972824,https://twitter.com/SpaceX/status/1810459014112972824,34743251,SpaceX,https://twitter.com/SpaceX,"{'type': 'TwitterTweetSource', 'url': 'https://www.twitter.com/', 'title': 'Twitter Media Studio - LiveCut'}",,[],[],[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720514001,reply,Yeah,https://twitter.com/elonmusk/status/1810593070259265606,13177,26,377,133,11,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810388907244269614,https://twitter.com/farzyness/status/1810388907244269614,17862108,farzyness,https://twitter.com/farzyness,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '17862108', 'alias': 'farzyness', 'name': 'Farzad', 'url': 'https://twitter.com/farzyness'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720513390,reply,Is this real? @CommunityNotes,https://twitter.com/elonmusk/status/1810590508323840377,11203,31,258,134,7,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810438993626247504,https://twitter.com/TheoFleury14/status/1810438993626247504,73299652,TheoFleury14,https://twitter.com/TheoFleury14,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '73299652', 'alias': 'TheoFleury14', 'name': 'Theo Fleury', 'url': 'https://twitter.com/TheoFleury14'}, {'type': 'TwitterUserMention', 'id': '104233325', 'alias': 'ryanjespersen', 'name': 'Ryan Jespersen', 'url': 'https://twitter.com/ryanjespersen'}, {'type': 'TwitterUserMention', 'id': '1319036828964454402', 'alias': 'CommunityNotes', 'name': 'Community Notes', 'url': 'https://twitter.com/CommunityNotes'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720507858,reply,"Gage made repeated and clear calls for violence, which is illegal, hence 6 month suspension. 

Rule applies to everyone, apart from the “UN exemption” for recognized leaders of countries. If politicians can say something to the UN General Assembly, then they can say it here.",https://twitter.com/elonmusk/status/1810567302804340757,167553,143,1137,1422,206,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810521989326492112,https://twitter.com/TheOfficial1984/status/1810521989326492112,1643966358256861185,TheOfficial1984,https://twitter.com/TheOfficial1984,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '1643966358256861185', 'alias': 'TheOfficial1984', 'name': '1984', 'url': 'https://twitter.com/TheOfficial1984'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720513185,reply,The post that triggered the 6 month suspension was this one:,https://twitter.com/elonmusk/status/1810589645471645698,54706,181,628,1092,141,"{'type': 'TwitterTweetMedia', 'photos': [{'type': 'TwitterTweetPhoto', 'id': '1810589643487727616', 'image': 'https://pbs.twimg.com/media/GSCBsBYWUAAFRC9.jpg'}], 'videos': []}",en,1810567302804340757,https://twitter.com/elonmusk/status/1810567302804340757,44196397,elonmusk,https://twitter.com/elonmusk,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '1643966358256861185', 'alias': 'TheOfficial1984', 'name': '1984', 'url': 'https://twitter.com/TheOfficial1984'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720513075,reply,That’s the right word for sure,https://twitter.com/elonmusk/status/1810589187055251702,21933,85,842,132,10,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810289584825155853,https://twitter.com/FoxNews/status/1810289584825155853,1367531,FoxNews,https://twitter.com/FoxNews,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '1367531', 'alias': 'FoxNews', 'name': 'Fox News', 'url': 'https://twitter.com/FoxNews'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720512995,reply,Congrats @TalulahRiley on your wedding last month in England! It was an honor to attend.,https://twitter.com/elonmusk/status/1810588851531833762,7345,27,397,87,5,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810531728760410405,https://twitter.com/iam_smx/status/1810531728760410405,1614879930885574656,iam_smx,https://twitter.com/iam_smx,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '1614879930885574656', 'alias': 'iam_smx', 'name': 'SMX 🇺🇸', 'url': 'https://twitter.com/iam_smx'}, {'type': 'TwitterUserMention', 'id': '344538987', 'alias': 'TalulahRiley', 'name': 'Talulah Riley', 'url': 'https://twitter.com/TalulahRiley'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720512347,reply,Exactly,https://twitter.com/elonmusk/status/1810586133618634864,12588,19,293,143,8,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",en,1810585818840666272,https://twitter.com/stevenmarkryan/status/1810585818840666272,31263848,stevenmarkryan,https://twitter.com/stevenmarkryan,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '31263848', 'alias': 'stevenmarkryan', 'name': 'stevenmarkryan', 'url': 'https://twitter.com/stevenmarkryan'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
TwitterTweet,1720512226,reply,!!,https://twitter.com/elonmusk/status/1810585624572768694,7407,16,189,78,3,"{'type': 'TwitterTweetMedia', 'photos': [], 'videos': []}",qam,1810452022824468971,https://twitter.com/jonatanpallesen/status/1810452022824468971,4052598077,jonatanpallesen,https://twitter.com/jonatanpallesen,"{'type': 'TwitterTweetSource', 'url': 'http://twitter.com/download/iphone', 'title': 'Twitter for iPhone'}",,[],"[{'type': 'TwitterUserMention', 'id': '4052598077', 'alias': 'jonatanpallesen', 'name': 'Jonatan Pallesen', 'url': 'https://twitter.com/jonatanpallesen'}]",[],{},elonmusk,Elon Musk,,651,189385822,59303,2283,https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_400x400.jpg,https://pbs.twimg.com/profile_banners/44196397/1690621312,1243973549,True
